LocalidadOrigen,LocalidadDestino,distancia,tiempo
1,2,26758.6,2522.9
1,3,30281.7,2697.0
1,4,16633.0,1733.3
1,5,26682.5,2549.3
1,6,11143.5,1436.4
1,7,22303.2,2162.9
1,8,23954.4,2329.6
1,9,19324.8,1732.0
1,10,23519.2,2151.4
2,1,36838.7,2834.2
2,3,8088.9,553.0
2,4,20656.2,1816.0
2,5,3040.5,284.5
2,6,26605.6,1742.7
2,7,13207.8,1213.3
2,8,26859.2,2077.4
2,9,25021.6,1607.0
2,10,14769.4,1100.7
3,1,32641.9,2591.5
3,2,7954.2,531.6
3,4,24137.5,1608.9
3,5,9617.3,725.0
3,6,22408.7,1500.0
3,7,13554.7,1203.5
3,8,22662.4,1834.7
3,9,20824.8,1364.3
3,10,11688.2,870.7
4,1,18374.9,1687.8
4,2,18491.8,1441.2
4,3,21973.9,1657.3
4,5,18415.7,1467.6
4,6,8141.7,596.3
4,7,14036.4,1081.2
4,8,15646.6,1289.9
4,9,6450.7,475.9
4,10,14630.1,1098.1
5,1,29333.9,2886.5
5,2,2467.1,240.7
5,3,9430.3,713.9
5,4,20566.6,1853.1
5,6,19100.7,1795.0
5,7,13118.3,1250.4
5,8,26335.3,2147.3
5,9,24497.7,1676.9
5,10,14245.4,1170.6
6,1,12890.9,1414.8
6,2,19093.0,1536.8
6,3,22616.2,1710.9
6,4,8349.2,651.4
6,5,19017.0,1563.2
6,7,14637.7,1176.8
6,8,16288.9,1343.5
6,9,11659.2,745.9
6,10,15853.7,1165.3
7,1,15966.8,2096.0
7,2,11021.6,952.1
7,3,12047.6,1181.9
7,4,15685.4,1412.4
7,5,10945.6,978.5
7,6,14219.5,1354.3
7,8,21784.7,1929.0
7,9,17008.0,1274.8
7,10,10207.8,945.6
8,1,26974.5,2511.2
8,2,24872.3,2200.3
8,3,20043.3,1883.8
8,4,17041.3,1510.9
8,5,24796.2,2226.7
8,6,16741.4,1419.7
8,7,22321.2,2012.0
8,9,10512.1,1033.7
8,10,12902.4,1441.8
9,1,21278.0,2019.7
9,2,23486.9,1814.5
9,3,19670.9,1600.3
9,4,9999.5,799.2
9,5,23410.8,1840.9
9,6,11044.8,928.2
9,7,18731.1,1461.1
9,8,10101.6,1146.1
9,10,12908.4,1054.7
10,1,25434.9,2167.7
10,2,13665.9,1027.0
10,3,11414.9,880.8
10,4,16930.5,1185.1
10,5,13589.8,1053.4
10,6,15201.7,1076.2
10,7,10388.7,974.0
10,8,12054.6,1299.9
10,9,13617.8,940.5
