VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CD1,63.0,CD1-C5-C2-C3-C9-C4-C6-CD1,6,6.0-12.0-15.0-10.0-15.0-5.0,89095.4,125.3,1336431000
VEH002,CD1,38.0,CD1-C8-C10-C7-CD1,3,12.0-15.0-11.0,63212.3,114.0,948184500
