VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CD1,0.0,,0,,0.0,0.0,0
VEH002,CD1,128.0,CD1-C31-C59-C86-C60-C48-C12-C45-C14-C44-C91-C89-CD1,11,12.0-12.0-12.0-12.0-12.0-12.0-12.0-8.0-12.0-12.0-12.0,196.0,265.8,2940699
VEH003,CD1,101.0,CD1-C25-C53-C23-C81-C4-C42-C15-C73-C33-CD1,9,12.0-12.0-12.0-5.0-12.0-12.0-12.0-12.0-12.0,118.6,203.3,1779252
VEH004,CD1,70.0,CD1-C74-C9-C16-C29-C88-C62-CD1,6,12.0-12.0-12.0-12.0-10.0-12.0,109.5,172.7,1641978
VEH005,CD1,108.0,CD1-C26-C20-C85-C55-C13-C75-C10-C72-C50-CD1,9,12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0,128.7,189.3,1930983
VEH006,CD1,24.0,CD1-C78-C7-CD1,2,12.0-12.0,72.1,102.8,1081250
VEH007,CD1,48.0,CD1-C37-C57-C64-C22-CD1,4,12.0-12.0-12.0-12.0,84.2,128.1,1262532
VEH008,CD1,36.0,CD1-C46-C18-C76-CD1,3,12.0-12.0-12.0,59.4,100.5,890949
VEH009,CD1,84.0,CD1-C51-C5-C87-C82-C70-C63-C2-CD1,7,12.0-12.0-12.0-12.0-12.0-12.0-12.0,125.6,203.2,1884123
VEH010,CD1,96.0,CD1-C28-C19-C80-C49-C24-C21-C36-C41-CD1,8,12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0,106.2,161.8,1593600
VEH011,CD1,60.0,CD1-C77-C69-C84-C67-C6-CD1,5,12.0-12.0-12.0-12.0-12.0,108.1,168.0,1621965
VEH012,CD1,72.0,CD1-C11-C68-C39-C35-C38-C30-CD1,6,12.0-12.0-12.0-12.0-12.0-12.0,84.8,124.6,1272118
VEH013,CD1,83.0,CD1-C32-C52-C43-C61-C17-C56-C27-CD1,7,11.0-12.0-12.0-12.0-12.0-12.0-12.0,102.7,172.5,1540667
VEH014,CD1,69.0,CD1-C90-C65-C34-C71-C40-C58-CD1,6,12.0-12.0-12.0-12.0-12.0-9.0,107.0,151.8,1605614
VEH015,CD1,84.0,CD1-C8-C3-C83-C54-C66-C79-C47-CD1,7,12.0-12.0-12.0-12.0-12.0-12.0-12.0,152.0,205.8,2279678
VEH016,CD1,0.0,,0,,0.0,0.0,0
VEH017,CD1,0.0,,0,,0.0,0.0,0
VEH018,CD1,0.0,,0,,0.0,0.0,0
VEH019,CD1,0.0,,0,,0.0,0.0,0
VEH020,CD1,0.0,,0,,0.0,0.0,0
VEH021,CD1,0.0,,0,,0.0,0.0,0
VEH022,CD1,0.0,,0,,0.0,0.0,0
VEH023,CD1,0.0,,0,,0.0,0.0,0
VEH024,CD1,0.0,,0,,0.0,0.0,0
VEH025,CD1,0.0,,0,,0.0,0.0,0
VEH026,CD1,0.0,,0,,0.0,0.0,0
VEH027,CD1,0.0,,0,,0.0,0.0,0
VEH028,CD1,0.0,,0,,0.0,0.0,0
VEH029,CD1,0.0,,0,,0.0,0.0,0
VEH030,CD1,0.0,,0,,0.0,0.0,0
