VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CD1,106.0,CD1-C12-C19-C5-C9-C3-C4-C21-CD1,7,17.0-12.0-15.0-20.0-15.0-12.0-15.0,110.9,160.0,1663802
VEH003,CD1,116.0,CD1-C17-C11-C2-C18-C20-C15-C24-C13-CD1,8,10.0-15.0-13.0-25.0-11.0-15.0-15.0-12.0,102.4,151.4,1536360
VEH004,CD1,92.0,CD1-C16-C23-C10-C6-C7-CD1,5,17.0-18.0-20.0-20.0-17.0,80.2,122.8,1202945
VEH005,CD1,63.0,CD1-C22-C8-C25-C14-CD1,4,14.0-17.0-11.0-21.0,92.2,136.4,1382252
